connection	op	table	params
virtual-343	MERGE	txn1	154	154	"7"	"7"
virtual-350	MERGE	txn0	151	151	"2"	"2"
virtual-349	SELECT	txn0	151
virtual-347	MERGE	txn0	153	153	"8"	"8"
virtual-350	MERGE	txn0	156	156	"2"	"2"
virtual-349	SELECT	txn1	155
virtual-352	MERGE	txn1	155	155	"2"	"2"
virtual-351	MERGE	txn1	155	155	"1"	"1"
virtual-352	SELECT	txn1	155
virtual-350	MERGE	txn0	156	156	"3"	"3"
virtual-351	SELECT	txn0	156
virtual-350	SELECT	txn0	156
virtual-353	SELECT	txn0	151
virtual-352	MERGE	txn1	155	155	"3"	"3"
virtual-349	MERGE	txn0	156	156	"1"	"1"
virtual-353	SELECT	txn2	152
virtual-354	SELECT	txn1	155
virtual-356	MERGE	txn1	155	155	"5"	"5"
virtual-356	MERGE	txn1	155	155	"6"	"6"
virtual-358	MERGE	txn0	156	156	"4"	"4"
virtual-357	MERGE	txn2	152	152	"3"	"3"
virtual-355	SELECT	txn1	155
virtual-356	SELECT	txn1	155
virtual-357	MERGE	txn1	155	155	"7"	"7"
virtual-359	MERGE	txn0	156	156	"5"	"5"
virtual-355	MERGE	txn1	155	155	"4"	"4"
virtual-360	SELECT	txn0	156
virtual-363	SELECT	txn1	157
virtual-360	MERGE	txn0	156	156	"6"	"6"
virtual-363	SELECT	txn1	157
virtual-361	SELECT	txn0	151
virtual-362	MERGE	txn1	157	157	"2"	"2"
virtual-359	SELECT	txn1	157
virtual-361	SELECT	txn1	157
virtual-359	SELECT	txn0	156
virtual-362	SELECT	txn0	156
virtual-361	MERGE	txn2	152	152	"4"	"4"
virtual-363	SELECT	txn1	157
virtual-364	SELECT	txn1	157
virtual-362	SELECT	txn0	156
virtual-364	MERGE	txn0	156	156	"7"	"7"
virtual-364	SELECT	txn0	156
virtual-367	MERGE	txn0	156	156	"8"	"8"
virtual-366	MERGE	txn1	157	157	"5"	"5"
virtual-365	SELECT	txn0	156
virtual-362	MERGE	txn1	157	157	"3"	"3"
virtual-366	SELECT	txn0	101
virtual-369	SELECT	txn2	152
virtual-365	MERGE	txn1	157	157	"4"	"4"
virtual-368	MERGE	txn1	157	157	"7"	"7"
virtual-367	SELECT	txn2	152
virtual-367	MERGE	txn2	152	152	"5"	"5"
virtual-367	MERGE	txn1	157	157	"6"	"6"
virtual-366	SELECT	txn1	157
virtual-368	SELECT	txn1	2
virtual-369	MERGE	txn1	157	157	"8"	"8"
virtual-370	MERGE	txn1	123	123	"5"	"5"
virtual-368	SELECT	txn1	157
virtual-371	SELECT	txn2	159
virtual-370	SELECT	txn1	3
virtual-366	SELECT	txn1	157
virtual-368	MERGE	txn1	158	158	"1"	"1"
virtual-374	MERGE	txn2	159	159	"3"	"3"
virtual-372	MERGE	txn2	159	159	"1"	"1"
virtual-371	SELECT	txn1	158
virtual-374	MERGE	txn1	158	158	"2"	"2"
virtual-372	MERGE	txn2	159	159	"2"	"2"
virtual-373	MERGE	txn2	1	1	"3"	"3"
virtual-375	MERGE	txn1	158	158	"3"	"3"
virtual-372	SELECT	txn2	159
virtual-372	SELECT	txn2	159
virtual-371	SELECT	txn2	159
virtual-373	MERGE	txn0	151	151	"3"	"3"
virtual-377	SELECT	txn1	158
virtual-376	SELECT	txn2	159
virtual-371	SELECT	txn1	158
virtual-379	SELECT	txn2	152
virtual-377	MERGE	txn1	158	158	"4"	"4"
virtual-379	MERGE	txn1	158	158	"6"	"6"
virtual-378	SELECT	txn2	159
virtual-377	MERGE	txn2	152	152	"6"	"6"
virtual-376	MERGE	txn0	151	151	"4"	"4"
virtual-380	MERGE	txn1	158	158	"7"	"7"
virtual-381	MERGE	txn2	152	152	"7"	"7"
virtual-377	MERGE	txn1	158	158	"5"	"5"
virtual-382	MERGE	txn2	152	152	"8"	"8"
virtual-385	MERGE	txn1	158	158	"8"	"8"
virtual-376	SELECT	txn2	152
virtual-384	MERGE	txn1	123	123	"6"	"6"
virtual-384	SELECT	txn2	159
virtual-383	MERGE	txn2	159	159	"6"	"6"
virtual-382	SELECT	txn2	159
virtual-383	SELECT	txn1	158
virtual-383	SELECT	txn2	159
virtual-385	SELECT	txn2	159
virtual-386	SELECT	txn0	160
virtual-387	MERGE	txn2	159	159	"8"	"8"
virtual-384	MERGE	txn2	159	159	"7"	"7"
virtual-382	SELECT	txn2	159
virtual-387	SELECT	txn0	162
virtual-390	SELECT	txn2	161
virtual-388	MERGE	txn0	162	162	"1"	"1"
virtual-391	MERGE	txn0	162	162	"3"	"3"
virtual-386	MERGE	txn0	160	160	"1"	"1"
virtual-389	SELECT	txn0	160
virtual-388	SELECT	txn1	3
virtual-390	MERGE	txn0	162	162	"2"	"2"
virtual-389	SELECT	txn2	161
virtual-391	SELECT	txn0	162
virtual-388	SELECT	txn0	162
virtual-386	MERGE	txn2	161	161	"1"	"1"
virtual-388	SELECT	txn0	162
virtual-390	SELECT	txn1	123
virtual-386	SELECT	txn2	161
virtual-391	MERGE	txn0	160	160	"2"	"2"
virtual-389	SELECT	txn2	161
virtual-392	SELECT	txn2	161
virtual-394	SELECT	txn0	162
virtual-396	MERGE	txn0	162	162	"6"	"6"
